X,Y,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE
-122.319489304582,47.4081278693423,1048,1355,382772,390,Des Moines Library,Des Moines Lib,21620 11th Ave S,98198
-122.191857008432,47.6045367911336,1049,1563,880543,62,District Court-Bellevue,District Court - Bellevue,585 112th Ave SE,98004
-122.326366139855,47.6084514039991,1050,3300016,446015,330,Puget Sound Blood Center,Blood Bank - First Hill,921 Terry Ave,98104
-122.204880793209,47.4745979509826,1051,650062,588381,65,Renton Police Department,Renton PD,1055 S Grady Way,98057
-122.361898823347,47.535904160449,1052,650065,478814,65,Seattle Police Southwest Precinct,SPD SW Precinct,2300 SW Webster St,98106
-122.336567294212,47.6162346543075,1053,650067,840695,65,Seattle Police West Precinct,SPD West Precinct,810 Virginia St,98121
-122.29339666733,47.5385861373774,1054,650068,486615,65,Seattle Police South Precinct,SPD South Precinct,3001 S Myrtle St,98108
-122.200735715894,47.3708771132352,1055,3400012,879919,340,Kent Public Health Center,Kent Public Health Center,25742 104th Ave SE,98030
-122.16619063688,47.3555833347989,1056,3400013,805031,340,Birch Creek Public Health Center,Birch Creek Public Health Center,13111 SE 274th St,98030
-122.33792306427,47.5902695399627,1057,6300013,763818,630,Pier 36-Coast Guard,Pier 36 - CG,1519 Alaskan Way S,98134
-122.205412753367,47.6183578541688,1058,5410028,94810,530,Bartell Drugs-Bellevue Village,Bellevue Village,10116 NE 8th St,98004
-122.335192769985,47.615238839798,1059,5300003,840200,530,Seattle Telco FCU,Seattle Telco FCU,800 Stewart St,98101
-122.338506617402,47.6027211265849,1060,5100008,453897,510,WSF-52 Colman Dock,Pier 52,801 Alaskan Way,98104
-122.261569332242,47.6792516934875,1061,4500004,346758,450,US Naval Support Activity,USN Support,Sand Point Way NE,98115
-122.228629810366,47.3689000994107,1062,620001,668969,62,Kent Courthouse South Division,Kent Courthouse South Division,1210 Central Ave S,98030
-122.001902042667,47.2430955849571,1063,1200008,0000000,120,Holy Family Krain Cemetery,Krain,SE 400th St,98022
-122.212136652408,47.6317057539409,1064,650042,113972,65,Clyde Hill Police Department,Clyde Hill PD,9605 NE 24th St,98004
-122.134268012345,47.3564706020897,1065,1200005,0000000,120,Cemetery-K. Kangley & 156th SE,Cemetery-K. Kangley & 156th SE,Kent Kangley Rd & 156th Ave SE,98042
-122.283495987631,47.4077655301343,1066,6004550,0000000,600,Robert Morris Earthworks Park,Robert Morris Earthworks Park,21600 40th Ave S,98188
-122.270568666565,47.4136989714384,1067,6006962,0000000,600,Valley Floor Community Park,Valley Floor Community Park,21601 Frager Rd S,98032
-122.241581031588,47.383897746241,1068,6007286,0000000,600,Kent Lions Skate Park,Kent Lions Skate Park,West Smith Street and Interurban Trail,98032
-122.232672392765,47.382435347989,1069,407,0000000,600,Burlington Green Park,Burlington Green Park,W Smith St & N Railroad Ave,98054
-122.227844773374,47.3809623450292,1070,6007298,0000000,600,Gowe St Park,Gowe St Park,Gowe St & Kennebeck Ave S,98032
-122.316066117258,47.495031844316,1071,1285,0000000,600,Southern Heights Park,Southern Heights Park,S 120th St & 14th Ave S,98168
-122.025710077485,47.6489924024257,1072,6005482,370353,600,Middle Evans Creek Natural Area,Middle Evans Creek Natural Area,4505 236th Ave NE,98053
-122.143919615083,47.5415185927185,1073,172,0000000,600,Coal Creek Park,Coal Creek Park,Newcastle Coal Creek Rd,98059
-122.005615284895,47.3487248109747,1074,6003699,0000000,600,Maple Ridge Highlands Open Space,Maple Ridge Highlands Open Space,SE Summit Landsburg Road and 256th Ave SE,98051
-122.194942109727,47.4718874871252,1075,677,0000000,600,Phillip Arnold Park,Phillip Arnold Park,Jones Ave S & S 7th St,98057
-122.066355265154,47.4390016982312,1076,6002693,0000000,600,Cedar Grove Road Natural Area,Cedar Grove Road Natural Area,18167 Cedar Grove Rd,98038
-122.105424394786,47.4636913969453,1077,6002762,0000000,600,Ricardi Reach Natural Area,Ricardi Reach Natural Area,"176th SE and Renton Maple Valley Rd, S of Jones Rd",98052
-122.162790946287,47.665990027391,1078,6002593,0000000,600,Snyders Corner Park,Snyders Corner Park,18167 Cedar Grove Rd,00000
-122.130939209917,47.6735861184136,1079,6002592,0000000,600,Luke Landing,Luke Landing,18167 Cedar Grove Rd,00000
-122.103676498697,47.6429774500801,1080,618,0000000,600,Idylwood Park,Idylwood Park,Sammamish Pkwy NE & NE 38th St,98052
-122.117998442468,47.6236903000851,1081,220,0000000,600,Ivanhoe Park,Ivanhoe Park,Northup Way 7 168th Ave NE,98008
-122.128783260342,47.6146920537707,1082,218,374470,600,Hillaire Park,Hillaire Park,NE 6th St,98074
-122.215346054317,47.7025210978334,1083,6002701,0000000,600,Juanita Beach Park,Juanita Beach Park,9703 Juanita Drive NE,98034
-121.981413642296,47.1645303078891,1084,6004559,0000000,600,Anderson Riverview Park,Anderson Riverview Park,27121 Mud Mtn Road,00000
-122.321927605368,47.6088420320288,1085,819,836480,330,Swedish Medical Center First Hill Campus,Swedish Med Ctr First Hill,747 Broadway Ave,98104
-122.397468337005,47.6388137922665,1086,2052,415719,530,Bartell Drugs-Magnolia,Bartell Drugs-Magnolia,2222 32nd Ave W,98199
